label,Estimate (95%CI)
Database Source,
  Commercial,REF
  Medicare,1.02 (0.98-1.06)
  Medicaid,1.12 (1.09-1.16)
Age,
  Age < 18,REF
  Age 18-34,0.99 (0.92-1.09)
  Age 35-44,1.02 (0.94-1.11)
  Age 45-54,1.06 (0.98-1.16)
  Age 55-64,1.09 (1.01-1.19)
  Age >= 65,1.14 (1.04-1.25)
Female,1.02 (1.01-1.04)
Any obesity dx prior to index,1.08 (1.06-1.09)
Rural location,1.03 (0.98-1.07)
Antacid/PPI rx during delay window,1.08 (1.06-1.10)
Antibiotic rx during delay window,1.03 (1.02-1.05)
Antihistamine rx during delay window,1.02 (0.97-1.06)
Cough suppressant rx during delay window,0.97 (0.83-1.11)
Diuretic rx during delay window,1.09 (1.06-1.11)
Inhaler rx during delay window,1.08 (1.06-1.10)
Nasal spray rx during delay window,0.99 (0.96-1.02)
Oral steroid rx during delay window,1.08 (1.06-1.10)
Month,
  January,REF
  February,0.96 (0.93-1.00)
  March,0.97 (0.94-1.00)
  April,0.97 (0.94-1.00)
  May,0.97 (0.94-1.00)
  June,1.00 (0.97-1.04)
  July,1.01 (0.97-1.04)
  August,1.01 (0.97-1.04)
  September,1.00 (0.97-1.04)
  October,1.00 (0.96-1.03)
  November,0.99 (0.96-1.02)
  December,0.99 (0.95-1.02)
Year,
  /n2003,REF
  /n2004,1.00 (0.92-1.10)
  /n2005,1.02 (0.94-1.10)
  /n2006,1.01 (0.93-1.09)
  /n2007,1.00 (0.93-1.08)
  /n2008,1.02 (0.95-1.10)
  /n2009,1.05 (0.98-1.13)
  /n2010,1.06 (0.98-1.14)
  /n2011,1.06 (0.99-1.15)
  /n2012,1.06 (0.99-1.14)
  /n2013,1.07 (0.99-1.15)
  /n2014,1.06 (0.98-1.14)
  /n2015,1.06 (0.98-1.14)
  /n2016,1.06 (0.98-1.14)
  /n2017,1.07 (0.99-1.15)
  /n2018,1.09 (1.01-1.17)
  /n2019,1.08 (1.00-1.17)
  /n2020,1.08 (1.00-1.17)
  /n2021,1.10 (1.03-1.20)
  /n2022,1.12 (1.03-1.22)
